gre,ren,csh,inv,vgl,choice_set,alt,block
1,15,3,75,1,1,1,2
0,25,1,125,0,1,2,2
2,45,5,25,1,1,3,2
0,25,3,75,0,2,1,3
2,45,1,25,1,2,2,3
1,35,5,175,1,2,3,3
2,35,3,125,0,3,1,2
0,15,5,75,0,3,2,2
1,25,1,175,1,3,3,2
0,15,1,25,1,4,1,3
2,45,5,175,0,4,2,3
1,35,3,125,1,4,3,3
0,35,5,25,0,5,1,2
1,15,3,175,1,5,2,2
2,45,1,125,0,5,3,2
2,35,3,125,0,6,1,3
1,25,1,25,0,6,2,3
0,45,5,75,1,6,3,3
0,25,3,175,0,7,1,1
1,15,5,125,0,7,2,1
2,35,1,25,1,7,3,1
1,15,3,25,0,8,1,3
0,45,1,175,1,8,2,3
2,25,5,75,0,8,3,3
1,45,3,175,1,9,1,1
2,35,1,75,0,9,2,1
0,25,5,25,1,9,3,1
2,15,5,25,0,10,1,1
0,35,1,175,0,10,2,1
1,45,3,75,1,10,3,1
0,15,1,75,1,11,1,1
1,45,5,125,0,11,2,1
2,25,3,25,1,11,3,1
1,25,5,125,1,12,1,3
2,15,1,175,0,12,2,3
0,45,3,25,1,12,3,3
1,35,5,75,1,13,1,2
2,45,3,175,0,13,2,2
0,15,1,125,1,13,3,2
1,35,1,25,0,14,1,2
0,45,5,75,0,14,2,2
2,25,3,125,1,14,3,2
0,45,1,125,1,15,1,3
1,15,5,175,0,15,2,3
2,35,3,75,1,15,3,3
0,35,3,175,0,16,1,1
1,25,1,75,0,16,2,1
2,15,5,125,1,16,3,1
0,35,5,175,1,17,1,2
1,45,3,25,0,17,2,2
2,15,1,75,1,17,3,2
2,25,5,175,1,18,1,1
0,15,3,125,0,18,2,1
1,45,1,75,0,18,3,1
